symbol,tv_ticker,sector,industry,description,grade,pass_tf,on_list,w1_score,d1_score,score,price,note
TENB,NASDAQ:TENB,Technology services,Packaged software,"Tenable Holdings, Inc.",B,,False,2,0,2,26.34,W1 2/3：量價配合 | D1 0/3：未達
TER,NASDAQ:TER,Electronic technology,Electronic production equipment,"Teradyne, Inc.",B,,False,0,2,2,457.0,W1 0/3：未達 | D1 2/3：量價配合
TFX,NYSE:TFX,Health technology,Medical specialties,Teleflex Incorporated,B,,False,2,0,2,121.67,W1 2/3：量價配合 | D1 0/3：未達
TLN,NASDAQ:TLN,Utilities,Alternative power generation,Talen Energy Corporation,B,,False,0,2,2,438.12,W1 0/3：未達 | D1 2/3：量價配合
TNL,NYSE:TNL,Consumer services,Hotels/Resorts/Cruise lines,Travel Leisure Co.,B,,False,0,2,2,74.7,W1 0/3：未達 | D1 2/3：量價配合
TOELY,TOELY,Producer manufacturing,Industrial machinery,Tokyo Electron Ltd.,B,,False,2,0,2,246.91,W1 2/3：量價配合 | D1 0/3：未達
TSM,NYSE:TSM,Electronic technology,Semiconductors,Taiwan Semiconductor Manufacturing Company Ltd.,B,,False,2,0,2,467.67,W1 2/3：量價配合 | D1 0/3：未達
UBS,NYSE:UBS,Finance,Investment managers,UBS Group AG Registered,C,,False,1,1,2,51.14,W1 1/3：MA轉上 | D1 1/3：MA轉上
UCTT,NASDAQ:UCTT,Producer manufacturing,Industrial machinery,"Ultra Clean Holdings, Inc.",B,,False,2,0,2,123.14,W1 2/3：量價配合 | D1 0/3：未達
UNH,NYSE:UNH,Health services,Managed health care,UnitedHealth Group Incorporated,B,,False,2,0,2,406.68,W1 2/3：量價配合 | D1 0/3：未達
VICR,NASDAQ:VICR,Electronic technology,Electronic components,Vicor Corporation,B,,False,0,2,2,365.53,W1 0/3：未達 | D1 2/3：量價配合
VIK,NYSE:VIK,Consumer services,Hotels/Resorts/Cruise lines,Viking Holdings Ltd,B,,False,0,2,2,100.05,W1 0/3：未達 | D1 2/3：量價配合
VRT,NYSE:VRT,Electronic technology,Electronic production equipment,"Vertiv Holdings, LLC",B,,False,0,2,2,357.96,W1 0/3：未達 | D1 2/3：量價配合
VTRS,NASDAQ:VTRS,Health technology,Pharmaceuticals: major,Viatris Inc.,B,,False,2,0,2,15.38,W1 2/3：量價配合 | D1 0/3：未達
WAT,NYSE:WAT,Health technology,Medical specialties,Waters Corporation,B,,False,0,2,2,358.25,W1 0/3：未達 | D1 2/3：量價配合
WCC,NYSE:WCC,Distribution services,Wholesale distributors,"WESCO International, Inc.",B,,False,0,2,2,369.72,W1 0/3：未達 | D1 2/3：量價配合
WDC,NASDAQ:WDC,Electronic technology,Computer peripherals,Western Digital Corporation,B,,False,2,0,2,732.62,W1 2/3：量價配合 | D1 0/3：未達
WOLF,NYSE:WOLF,Electronic technology,Semiconductors,"Wolfspeed, Inc.",B,,False,2,0,2,52.97,W1 2/3：量價配合 | D1 0/3：未達
WRBY,NYSE:WRBY,Retail trade,Specialty stores,Warby Parker Inc.,B,,False,0,2,2,26.99,W1 0/3：未達 | D1 2/3：量價配合
WSO,NYSE:WSO,Producer manufacturing,Building products,"Watsco, Inc.",B,,False,0,2,2,397.16,W1 0/3：未達 | D1 2/3：量價配合
WST,NYSE:WST,Health technology,Medical specialties,"West Pharmaceutical Services, Inc.",B,,False,0,2,2,329.71,W1 0/3：未達 | D1 2/3：量價配合
